traffic,weather,vehicle,area,distance_category,total_orders,avg_delivery_time,median_delivery_time,slow_delivery_rate,avg_distance_km
Medium,Stormy,Van,Urban,Medium,8,112.5,127.5,0.0,7.54
Medium,Stormy,Van,Urban,Short,2,115.0,115.0,0.0,4.61
Medium,Stormy,Van,Urban,Very Long,11,99.27,100.0,9.09,17.69
Medium,Sunny,Motorcycle,Metropolitan,Long,253,112.47,110.0,13.04,12.22
Medium,Sunny,Motorcycle,Metropolitan,Medium,248,97.29,105.0,0.0,7.52
Medium,Sunny,Motorcycle,Metropolitan,Short,72,94.69,102.5,0.0,4.62
Medium,Sunny,Motorcycle,Metropolitan,Very Long,170,119.81,120.0,18.82,79.01
Medium,Sunny,Motorcycle,Other,Long,10,88.5,82.5,10.0,12.76
Medium,Sunny,Motorcycle,Other,Medium,14,81.79,77.5,0.0,7.57
Medium,Sunny,Motorcycle,Other,Short,8,85.38,95.0,0.0,4.61
Medium,Sunny,Motorcycle,Other,Very Long,8,103.75,107.5,0.0,18.65
Medium,Sunny,Motorcycle,Urban,Long,91,103.91,95.0,13.19,12.16
Medium,Sunny,Motorcycle,Urban,Medium,86,85.33,85.0,0.0,7.52
Medium,Sunny,Motorcycle,Urban,Short,30,93.7,95.0,0.0,4.58
Medium,Sunny,Motorcycle,Urban,Very Long,54,100.28,90.0,12.96,123.5
Medium,Sunny,Scooter,Metropolitan,Long,111,86.43,85.0,0.0,12.25
Medium,Sunny,Scooter,Metropolitan,Medium,134,80.96,85.0,0.0,7.63
Medium,Sunny,Scooter,Metropolitan,Short,43,84.02,85.0,0.0,4.6
Medium,Sunny,Scooter,Metropolitan,Very Long,86,92.35,90.0,0.0,57.5
Medium,Sunny,Scooter,Other,Long,6,67.0,70.0,0.0,12.73
Medium,Sunny,Scooter,Other,Medium,7,67.29,75.0,0.0,7.25
Medium,Sunny,Scooter,Other,Short,1,65.0,65.0,0.0,4.47
Medium,Sunny,Scooter,Other,Very Long,1,60.0,60.0,0.0,17.08
Medium,Sunny,Scooter,Urban,Long,58,82.28,77.5,0.0,12.07
Medium,Sunny,Scooter,Urban,Medium,58,75.83,80.0,0.0,7.31
Medium,Sunny,Scooter,Urban,Short,20,74.85,85.0,0.0,4.62
Medium,Sunny,Scooter,Urban,Very Long,40,91.55,90.0,0.0,18.73
Medium,Sunny,Van,Metropolitan,Long,29,90.31,85.0,0.0,12.53
Medium,Sunny,Van,Metropolitan,Medium,33,85.85,95.0,0.0,7.28
Medium,Sunny,Van,Metropolitan,Short,8,77.88,77.5,0.0,4.56
Medium,Sunny,Van,Metropolitan,Very Long,16,94.38,87.5,0.0,644.38
Medium,Sunny,Van,Other,Long,1,75.0,75.0,0.0,11.01
Medium,Sunny,Van,Other,Medium,4,85.0,82.5,0.0,7.28
Medium,Sunny,Van,Urban,Long,8,99.38,102.5,0.0,12.38
Medium,Sunny,Van,Urban,Medium,10,81.5,92.5,0.0,7.22
Medium,Sunny,Van,Urban,Short,4,66.25,67.5,0.0,4.6
Medium,Sunny,Van,Urban,Very Long,7,70.0,65.0,0.0,18.52
Medium,Windy,Motorcycle,Metropolitan,Long,270,144.15,150.0,36.67,12.2
Medium,Windy,Motorcycle,Metropolitan,Medium,298,126.89,135.0,17.79,7.59
Medium,Windy,Motorcycle,Metropolitan,Short,90,134.01,140.0,16.67,4.59
Medium,Windy,Motorcycle,Metropolitan,Very Long,182,146.03,150.0,39.56,144.47
Medium,Windy,Motorcycle,Other,Long,10,140.3,135.0,40.0,12.27
Medium,Windy,Motorcycle,Other,Medium,10,111.4,117.5,10.0,7.79
Medium,Windy,Motorcycle,Other,Short,3,118.33,100.0,0.0,4.58
Medium,Windy,Motorcycle,Other,Very Long,3,100.67,105.0,33.33,20.21
Medium,Windy,Motorcycle,Semi-Urban,Long,3,245.0,245.0,100.0,11.19
Medium,Windy,Motorcycle,Urban,Long,59,126.73,120.0,23.73,12.09
Medium,Windy,Motorcycle,Urban,Medium,87,120.11,130.0,12.64,7.13
Medium,Windy,Motorcycle,Urban,Short,24,130.0,132.5,25.0,4.6
Medium,Windy,Motorcycle,Urban,Very Long,38,126.32,127.5,15.79,18.91
Medium,Windy,Scooter,Metropolitan,Long,125,125.94,125.0,24.0,12.27
Medium,Windy,Scooter,Metropolitan,Medium,178,125.67,130.0,8.43,7.6
Medium,Windy,Scooter,Metropolitan,Short,52,130.63,135.0,11.54,4.59
Medium,Windy,Scooter,Metropolitan,Very Long,105,120.9,125.0,18.1,74.67
Medium,Windy,Scooter,Other,Long,5,132.0,120.0,20.0,12.44
Medium,Windy,Scooter,Other,Medium,5,86.8,125.0,0.0,7.61
Medium,Windy,Scooter,Other,Short,4,138.75,135.0,25.0,4.61
Medium,Windy,Scooter,Other,Very Long,5,81.0,90.0,0.0,18.88
Medium,Windy,Scooter,Urban,Long,34,114.18,112.5,11.76,12.1
Medium,Windy,Scooter,Urban,Medium,28,131.39,130.0,14.29,7.7
Medium,Windy,Scooter,Urban,Short,16,138.75,137.5,12.5,4.58
Medium,Windy,Scooter,Urban,Very Long,21,127.14,125.0,14.29,256.64
Medium,Windy,Van,Metropolitan,Long,42,119.83,125.0,9.52,12.13
Medium,Windy,Van,Metropolitan,Medium,45,125.42,130.0,6.67,7.79
Medium,Windy,Van,Metropolitan,Short,11,139.09,140.0,27.27,4.62
Medium,Windy,Van,Metropolitan,Very Long,29,132.76,130.0,17.24,94.55
Medium,Windy,Van,Other,Long,1,75.0,75.0,0.0,11.92
Medium,Windy,Van,Urban,Long,8,112.38,120.0,12.5,12.5
Medium,Windy,Van,Urban,Medium,10,121.2,122.5,20.0,7.7
Medium,Windy,Van,Urban,Short,2,145.0,145.0,0.0,4.54
Medium,Windy,Van,Urban,Very Long,5,89.8,95.0,0.0,18.17
Unknown,Unknown,Bicycle,Metropolitan,Long,3,135.0,105.0,33.33,12.29
Unknown,Unknown,Bicycle,Metropolitan,Medium,4,110.0,107.5,0.0,8.05
Unknown,Unknown,Bicycle,Metropolitan,Short,4,122.5,117.5,25.0,3.12
Unknown,Unknown,Bicycle,Metropolitan,Very Long,4,142.5,142.5,0.0,17918.71
Unknown,Unknown,Motorcycle,Metropolitan,Medium,2,167.5,167.5,50.0,8.5
Unknown,Unknown,Motorcycle,Metropolitan,Very Long,3,131.67,140.0,33.33,11845.38
Unknown,Unknown,Motorcycle,Urban,Medium,1,165.0,165.0,100.0,7.49
Unknown,Unknown,Motorcycle,Urban,Very Long,2,85.0,85.0,0.0,3003.62
Unknown,Unknown,Scooter,Metropolitan,Long,5,130.0,135.0,40.0,12.34
Unknown,Unknown,Scooter,Metropolitan,Medium,3,148.33,145.0,0.0,8.18
Unknown,Unknown,Scooter,Metropolitan,Short,5,107.0,110.0,0.0,3.39
Unknown,Unknown,Scooter,Metropolitan,Very Long,11,134.55,125.0,27.27,8821.31
Unknown,Unknown,Scooter,Other,Very Long,1,85.0,85.0,0.0,18098.79
Unknown,Unknown,Scooter,Urban,Long,2,110.0,110.0,0.0,10.94
Unknown,Unknown,Scooter,Urban,Medium,1,75.0,75.0,0.0,7.77
Unknown,Unknown,Scooter,Urban,Short,1,22.0,22.0,0.0,3.04
Unknown,Unknown,Scooter,Urban,Very Long,3,145.0,150.0,0.0,16499.25
Unknown,Unknown,Van,Metropolitan,Long,4,117.75,130.0,25.0,11.82
Unknown,Unknown,Van,Metropolitan,Medium,1,80.0,80.0,0.0,9.35
Unknown,Unknown,Van,Metropolitan,Short,3,108.33,100.0,0.0,4.09
Unknown,Unknown,Van,Metropolitan,Very Long,12,127.75,130.0,25.0,10569.95
Unknown,Unknown,Van,Other,Very Long,1,85.0,85.0,0.0,17179.08
Unknown,Unknown,Van,Urban,Long,3,91.67,100.0,0.0,12.96
Unknown,Unknown,Van,Urban,Medium,2,100.0,100.0,0.0,9.32
Unknown,Unknown,Van,Urban,Short,3,101.67,95.0,0.0,2.07
Unknown,Unknown,Van,Urban,Very Long,7,112.86,125.0,0.0,10680.74
